Classrooms (smaller group),,,,Food rooms (2 of 2),,Gymnasiums (existing),,,SEN resource spaces (HI support),"Reception areas, community (50% circulation)","Chemicals stores, science","Equipment stores, maintenance",,"Toilets, suite (staff)",Services shafts (enclosed ventilation),
Classrooms (larger group),,,,Catering training kitchens,,Squash courts (existing),,,SEN resource spaces (VI support),Offices,DT prep rooms,,,,Services shafts (enclosed daylit ventilation),
,,,,DT workshops (existing for 20),,"Indoor activity spaces, other (existing)",,,Quiet calming spaces,Offices (1-person),Food prep rooms,,,,Services shafts (enclosed electrical),
,,,,"DT workshops (restrictive, extg)",,"Assembly halls, existing",,,,Offices (2-person),"Sports equipment stores, internal",,,,Services shafts (enclosed other),
,,,,DT workshops,,"Lecture theatres, existing",,,,Offices (3-person),"Sports equipment stores, internal (sports hall)",,,,Light wells (open ventilation),
,,,,DT workshops (2 of 2),,Indoor swimming pools (existing),,,,Offices (4-person),"Sports equipment stores, internal (community)",,,,Light wells (open daylit ventilation),
,,,,DT workshops (with heat bay),,Climbing wall spaces (indoor),,,,Offices (exams),"Sports equipment stores, internal (activity studio)",,,,,
,,,,Engineering workshops,,"Sports halls, school (1-court)",,,,Offices (with meeting area),"Sports equipment stores, internal (off hall)",,,,,
,,,,Construction workshops,,"Sports halls, school (2-court)",,,,"Offices (with meeting area, 1-person)","Sports equipment stores, external",,,,,
,,,,,,"Sports halls, school (3-court)",,,,"Offices (with meeting area, 2-person)",,,,,,
,,,,,,"Sports halls, school (4-court)",,,,"Offices (with meeting area, 3-person)",,,,,,
,,,,,,"Sports halls, school (multi-court, extg)",,,,Staff workrooms (technical support staff),,,,,,
,,,,,,"Sports halls, community (multi-court extg)",,,,Staff workrooms (ICT technicians),,,,,,
,,,,,,"Sports halls, community (multi-court)",,,,Staff workrooms (premises),,,,,,
,,,,,,"Sports halls, community (4-court)",,,,Offices (pastoral),,,,,,
,,,,,,"Sports halls, community (5-court)",,,,"Offices (pastoral, 1-person)",,,,,,
,,,,,,"Sports halls, community (8-court)",,,,"Offices (pastoral, 2-person)",,,,,,
,,,,,,"Sports halls, community (12-court)",,,,"Offices (SENco, learning support)",,,,,,
,,,,,,,,,,Offices (visiting professionals),,,,,,
,,,,,,,,,,Staff rooms (prep and social),,,,,,
,,,,,,,,,,Staff rooms (social),,,,,,
,,,,,,,,,,Staff workrooms (smaller teaching team),,,,,,
,,,,,,,,,,Staff workrooms (teaching staff),,,,,,
,,,,,,,,,,Staff workrooms (specially resourced),,,,,,
,,,,,,,,,,Meeting rooms (conference),,,,,,
,,,,,,,,,,Laundries,,,,,,
